epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0097,1.38702,2.70723,3.6047,1.17037,0.00639,0.10794,0.00728,0.00608,0.00632,0.10752,0.00744,0.00611,1.0614,2.15396,3.5915,0.91943,7.145e-05,7.145e-05,7.145e-05
2,13.3939,1.30213,2.62702,3.27751,1.0857,0.01926,0.29589,0.13074,0.09469,0.01832,0.21504,0.12261,0.0941,1.21242,2.2935,3.5056,0.9392,0.000155634,0.000155634,0.000155634
3,16.8996,1.19536,2.11984,2.22502,1.01537,0.02307,0.29929,0.17075,0.12794,0.02443,0.37177,0.16186,0.12001,1.16299,2.12073,3.29736,0.91324,0.00023812,0.00023812,0.00023812
4,21.8485,1.26623,2.21363,1.86133,1.05698,0.33817,0.14949,0.18266,0.135,0.33817,0.14949,0.18041,0.12829,1.13685,2.13853,3.20639,0.91515,0.000318909,0.000318909,0.000318909
5,25.8545,1.11545,2.06304,1.67432,1.01403,0.01918,0.26596,0.15076,0.11391,0.01786,0.23759,0.13607,0.10622,1.13542,2.17537,3.20197,0.9345,0.000397999,0.000397999,0.000397999
6,29.5014,1.15158,2.08711,1.49598,1.01543,0.16811,0.15461,0.12604,0.10613,0.06425,0.16794,0.12689,0.10548,1.14251,2.11516,3.20945,0.96259,0.000475393,0.000475393,0.000475393
7,33.6777,1.15126,2.04357,1.42081,1.03968,0.94607,0.03333,0.1173,0.10082,0.94607,0.03333,0.11827,0.09953,1.15269,2.08577,3.12775,0.9857,0.000551088,0.000551088,0.000551088
8,38.1813,1.09758,2.03745,1.40849,1.02687,0.79795,0.06043,0.15055,0.12248,0.79795,0.06043,0.15288,0.11941,1.14794,2.23094,2.91735,0.98364,0.000625086,0.000625086,0.000625086
9,41.5752,1.0584,1.89095,1.24632,0.99113,0.81228,0.07416,0.2322,0.18223,0.81228,0.07416,0.2322,0.16853,1.17276,2.22849,2.67608,0.97839,0.000697386,0.000697386,0.000697386
10,45.2743,1.03346,1.87351,1.2348,0.99413,0.75381,0.08709,0.26617,0.18552,0.75381,0.08709,0.25696,0.16148,1.17745,2.15511,2.59843,0.97944,0.000767989,0.000767989,0.000767989
11,49.9595,1.12245,2.0967,1.28415,1.03137,0.62033,0.09211,0.17853,0.12918,0.62033,0.09211,0.17606,0.12002,1.21496,2.17986,2.58984,0.99045,0.000836894,0.000836894,0.000836894
12,53.8755,1.06833,1.9084,1.20023,0.99963,0.57185,0.18709,0.20481,0.13903,0.57185,0.18709,0.20511,0.13507,1.25588,2.24792,2.58861,1.0057,0.000904101,0.000904101,0.000904101
13,57.2274,1.04568,1.94538,1.1385,0.99358,0.58035,0.20043,0.3314,0.22898,0.58035,0.20043,0.32991,0.21996,1.24668,2.07627,2.35913,0.98903,0.000969611,0.000969611,0.000969611
14,61.3155,1.0925,2.01048,1.1665,1.01536,0.57347,0.21972,0.34298,0.23807,0.57347,0.21972,0.34617,0.22565,1.28672,2.22585,2.29205,1.00645,0.00103342,0.00103342,0.00103342
15,66.1905,1.07949,2.01039,1.29591,1.03653,0.55706,0.26794,0.35934,0.24228,0.55706,0.26794,0.35187,0.2206,1.25689,2.14643,2.22103,0.99568,0.00109554,0.00109554,0.00109554
16,69.8874,1.04468,2.0041,1.14962,0.98568,0.68102,0.27005,0.37351,0.26458,0.70702,0.27631,0.36565,0.2246,1.23771,2.2903,1.99634,0.99211,0.00115595,0.00115595,0.00115595
17,73.4368,1.07997,1.87245,1.18083,1.02035,0.71667,0.30986,0.43322,0.27797,0.73178,0.31597,0.43071,0.24951,1.25514,2.23215,1.96426,1.0045,0.00120265,0.00120265,0.00120265
18,77.7285,1.0684,1.91222,1.13281,0.99316,0.69608,0.27135,0.42605,0.27293,0.71347,0.27844,0.43168,0.24624,1.26248,2.16792,2.03385,1.00526,0.0011885,0.0011885,0.0011885
19,81.7184,1.09304,1.94214,1.18569,1.00589,0.60542,0.20879,0.31612,0.22846,0.60542,0.20879,0.33102,0.20352,1.21886,2.21639,2.16236,0.99719,0.00117435,0.00117435,0.00117435
20,85.2501,0.98869,1.80248,1.10723,1.00846,0.56584,0.34809,0.38635,0.24863,0.5669,0.34809,0.38588,0.2349,1.2002,2.19252,1.84444,0.99506,0.00116021,0.00116021,0.00116021
21,88.7763,1.08627,1.97394,1.09852,1.00287,0.59786,0.32014,0.44706,0.28465,0.61344,0.32723,0.44635,0.25223,1.18247,2.21006,1.73505,0.98809,0.00114606,0.00114606,0.00114606
22,93.7747,1.05978,1.84211,1.04816,1.00865,0.57565,0.51298,0.51886,0.31337,0.57237,0.50632,0.5194,0.28997,1.18681,2.16717,1.59491,0.97748,0.00113191,0.00113191,0.00113191
23,97.3403,0.96686,1.67254,1.01977,0.96984,0.60038,0.46559,0.48114,0.30779,0.60038,0.46559,0.48213,0.28234,1.19801,2.168,1.52143,0.96943,0.00111776,0.00111776,0.00111776
24,101.124,1.01398,1.86725,1.02324,0.96717,0.56517,0.51858,0.5057,0.32631,0.55937,0.51149,0.50455,0.30845,1.13907,2.05747,1.35995,0.95664,0.00110362,0.00110362,0.00110362
25,104.83,0.95261,1.77273,1.02186,0.96586,0.64587,0.50142,0.54556,0.34275,0.62848,0.50906,0.53989,0.32688,1.13495,2.14059,1.34093,0.95465,0.00108947,0.00108947,0.00108947
26,109.659,0.94879,1.678,0.97994,0.97066,0.39628,0.60099,0.48067,0.34034,0.39628,0.60099,0.48441,0.29974,1.13452,2.11947,1.40176,0.96014,0.00107532,0.00107532,0.00107532
27,113.31,1.01234,1.80497,0.99881,0.97118,0.3943,0.48203,0.48377,0.34111,0.37223,0.47518,0.47734,0.3012,1.15434,2.19048,1.36608,0.96705,0.00106118,0.00106118,0.00106118
28,116.697,0.97151,1.7019,0.97732,0.96581,0.64647,0.43348,0.51694,0.3328,0.41536,0.53281,0.5144,0.30254,1.13562,2.08608,1.30395,0.96678,0.00104703,0.00104703,0.00104703
29,121.327,0.96452,1.80943,0.93961,0.95006,0.44264,0.58926,0.51378,0.34184,0.44199,0.59401,0.51526,0.32498,1.12102,2.06529,1.29819,0.96208,0.00103288,0.00103288,0.00103288
30,125.262,0.97839,1.89926,0.99046,0.9775,0.39492,0.56008,0.51386,0.32935,0.39614,0.56104,0.50558,0.32305,1.11281,2.13488,1.30193,0.96197,0.00101873,0.00101873,0.00101873
31,128.65,0.93816,1.64816,0.91896,0.95605,0.38674,0.53787,0.52212,0.3517,0.37546,0.5189,0.50714,0.32968,1.07173,2.09361,1.2867,0.94657,0.00100459,0.00100459,0.00100459
32,132.07,0.89048,1.61269,0.90201,0.94308,0.48797,0.62985,0.55328,0.36573,0.48335,0.62319,0.54617,0.34134,1.03506,2.06539,1.24453,0.93913,0.00099044,0.00099044,0.00099044
33,137.031,0.9095,1.55935,0.91685,0.95005,0.6925,0.62364,0.58029,0.39621,0.68409,0.61082,0.57055,0.36813,1.02242,2.03694,1.26323,0.94008,0.000976293,0.000976293,0.000976293
34,140.507,0.93792,1.8011,0.94388,0.96013,0.52947,0.60009,0.54565,0.35836,0.5305,0.59864,0.53054,0.30487,1.05558,2.03617,1.2707,0.94733,0.000962146,0.000962146,0.000962146
35,144.037,0.93331,1.68082,0.94031,0.95556,0.48441,0.4827,0.47119,0.30354,0.48972,0.48936,0.46605,0.26788,1.10457,2.07454,1.32464,0.96999,0.000947999,0.000947999,0.000947999
36,147.972,0.9116,1.59665,0.92992,0.95398,0.69584,0.58057,0.60794,0.39352,0.6958,0.59149,0.61335,0.3691,1.03369,2.06944,1.22822,0.93633,0.000933851,0.000933851,0.000933851
37,152.459,0.93447,1.60499,0.87601,0.94882,0.7012,0.58071,0.61183,0.38063,0.69598,0.59097,0.61622,0.36345,1.0243,2.06413,1.25836,0.92822,0.000919704,0.000919704,0.000919704
38,155.976,0.87226,1.61197,0.886,0.93778,0.68199,0.58957,0.60301,0.42069,0.68199,0.58957,0.60473,0.37251,0.99347,2.02248,1.2825,0.92723,0.000905557,0.000905557,0.000905557
39,159.39,0.87231,1.5881,0.86418,0.93555,0.69804,0.55507,0.60648,0.43939,0.71999,0.55023,0.61236,0.39328,1.00531,2.01927,1.27243,0.9289,0.00089141,0.00089141,0.00089141
40,163.775,0.85282,1.59308,0.85351,0.92661,0.72853,0.6369,0.64463,0.44447,0.72853,0.6369,0.63598,0.39083,1.04613,2.0119,1.28509,0.93567,0.000877263,0.000877263,0.000877263
41,167.482,0.87747,1.55169,0.90433,0.94387,0.72517,0.63533,0.61768,0.43497,0.72131,0.63633,0.61216,0.40071,1.00469,1.99199,1.24741,0.92775,0.000863116,0.000863116,0.000863116
42,170.99,0.87297,1.56304,0.85853,0.96062,0.72575,0.65449,0.62632,0.43136,0.71973,0.6474,0.62767,0.39997,1.0063,2.1164,1.24459,0.93321,0.000848969,0.000848969,0.000848969
43,174.13,0.86307,1.57053,0.88155,0.93804,0.72023,0.55562,0.60278,0.42182,0.72939,0.55889,0.6044,0.38332,1.04245,2.16338,1.25415,0.94053,0.000834822,0.000834822,0.000834822
44,179.09,0.87272,1.49869,0.83239,0.94549,0.52302,0.78028,0.5996,0.40659,0.52885,0.78738,0.61256,0.37374,1.05285,2.16296,1.23603,0.9452,0.000820675,0.000820675,0.000820675
45,182.506,0.91331,1.58316,0.84034,0.94173,0.49544,0.69943,0.56445,0.36634,0.48903,0.69943,0.56923,0.33811,1.04579,2.15422,1.26864,0.94547,0.000806528,0.000806528,0.000806528
46,186.11,0.87915,1.49174,0.81383,0.92312,0.71871,0.5773,0.56519,0.36978,0.71124,0.57021,0.59674,0.34082,1.02329,2.1023,1.26926,0.93759,0.00079238,0.00079238,0.00079238
47,189.923,0.89845,1.58329,0.82199,0.95,0.69862,0.57262,0.58947,0.39236,0.5086,0.69774,0.58868,0.35324,1.03112,2.07723,1.24747,0.93805,0.000778233,0.000778233,0.000778233
48,194.532,0.89995,1.55607,0.85834,0.95153,0.65515,0.63688,0.60837,0.39669,0.64731,0.62979,0.60838,0.3513,1.03749,2.07413,1.25461,0.95173,0.000764086,0.000764086,0.000764086
49,197.88,0.84138,1.49245,0.79652,0.89804,0.62719,0.63688,0.59835,0.37822,0.61938,0.62979,0.59291,0.35343,1.04615,2.06652,1.2263,0.95349,0.000749939,0.000749939,0.000749939
50,201.412,0.86557,1.5927,0.84475,0.92055,0.71702,0.65325,0.63798,0.42591,0.70348,0.67191,0.64442,0.39449,1.01757,2.00623,1.17671,0.93727,0.000735792,0.000735792,0.000735792
51,205.146,0.82924,1.44552,0.77653,0.91182,0.62366,0.64575,0.59338,0.40586,0.63772,0.66881,0.5986,0.36723,1.02328,2.00861,1.1821,0.93649,0.000721645,0.000721645,0.000721645
52,209.979,0.82965,1.42596,0.79329,0.94334,0.59802,0.57871,0.53094,0.3575,0.57882,0.56517,0.51222,0.30863,1.02838,2.05652,1.22638,0.94502,0.000707498,0.000707498,0.000707498
53,213.281,0.78464,1.41271,0.76115,0.92394,0.55557,0.61018,0.54418,0.3656,0.54815,0.59826,0.53108,0.30717,1.03937,2.1072,1.24748,0.94388,0.000693351,0.000693351,0.000693351
54,216.981,0.81262,1.41559,0.79256,0.91683,0.61591,0.56055,0.56617,0.37118,0.59694,0.54649,0.55948,0.32842,1.07293,2.20026,1.2767,0.948,0.000679204,0.000679204,0.000679204
55,221.811,0.84237,1.51981,0.78832,0.91461,0.65642,0.57396,0.58349,0.38311,0.64963,0.56818,0.56347,0.33584,1.07115,2.18577,1.26817,0.94319,0.000665057,0.000665057,0.000665057
56,225.689,0.86191,1.53679,0.79053,0.92679,0.57015,0.75859,0.59061,0.37429,0.56732,0.66579,0.55456,0.32933,1.03288,2.14978,1.22559,0.93406,0.000650909,0.000650909,0.000650909
57,229.176,0.82683,1.45268,0.7897,0.92174,0.60022,0.77277,0.6062,0.39198,0.59224,0.68525,0.57406,0.34448,1.00357,2.08766,1.21034,0.92411,0.000636762,0.000636762,0.000636762
58,232.991,0.8076,1.41698,0.76861,0.92171,0.6198,0.73149,0.59835,0.41744,0.62776,0.73149,0.59436,0.35532,0.9955,2.00227,1.19263,0.9261,0.000622615,0.000622615,0.000622615
59,237.603,0.82086,1.58728,0.77468,0.91062,0.61675,0.73816,0.60925,0.41646,0.62001,0.73816,0.60416,0.36764,1.02449,2.00346,1.20957,0.92802,0.000608468,0.000608468,0.000608468
60,241.158,0.86001,1.49687,0.80006,0.90851,0.53012,0.75858,0.59434,0.39474,0.52906,0.75816,0.58768,0.36355,1.03252,2.01766,1.22782,0.92987,0.000594321,0.000594321,0.000594321
61,244.494,0.87846,1.55014,0.82496,0.9321,0.61747,0.69075,0.61067,0.41642,0.58466,0.6844,0.60103,0.37708,0.99839,2.03243,1.24633,0.92818,0.000580174,0.000580174,0.000580174
62,248.644,0.79185,1.40013,0.782,0.91072,0.69798,0.5524,0.59282,0.38754,0.68195,0.54142,0.57776,0.36677,0.99696,2.01817,1.26994,0.93414,0.000566027,0.000566027,0.000566027
63,252.831,0.8012,1.41391,0.77842,0.91519,0.71528,0.54184,0.60247,0.3903,0.70827,0.55019,0.59286,0.37071,1.00679,2.04116,1.25277,0.9334,0.00055188,0.00055188,0.00055188
64,256.475,0.77261,1.47145,0.76783,0.90597,0.6341,0.69093,0.70765,0.46032,0.63935,0.6976,0.70106,0.43803,1.00495,2.02985,1.1658,0.92535,0.000537733,0.000537733,0.000537733
65,259.971,0.77072,1.35712,0.74874,0.90434,0.64254,0.73607,0.71267,0.47115,0.64771,0.74273,0.70492,0.43832,1.00339,2.02516,1.16474,0.92816,0.000523586,0.000523586,0.000523586
66,264.935,0.77954,1.39001,0.75368,0.90196,0.59492,0.79447,0.69918,0.45013,0.5792,0.77277,0.68443,0.39743,0.99592,2.07827,1.15047,0.93001,0.000509438,0.000509438,0.000509438
67,268.473,0.84259,1.47818,0.76157,0.92752,0.72767,0.75693,0.70393,0.46725,0.71113,0.73671,0.68869,0.40865,0.98885,2.09103,1.19238,0.92841,0.000495291,0.000495291,0.000495291
68,272.15,0.76981,1.30505,0.7307,0.90464,0.64889,0.77625,0.69088,0.47909,0.66198,0.73858,0.68809,0.40833,0.96953,2.0497,1.21872,0.92237,0.000481144,0.000481144,0.000481144
69,276.113,0.75228,1.41728,0.71624,0.90601,0.64069,0.76652,0.67798,0.4605,0.63599,0.76286,0.66552,0.39995,0.98601,2.06805,1.20608,0.925,0.000466997,0.000466997,0.000466997
70,280.708,0.74586,1.35931,0.73035,0.90174,0.667,0.78934,0.69843,0.47093,0.64345,0.7592,0.67887,0.39172,1.00659,2.08134,1.12362,0.9205,0.00045285,0.00045285,0.00045285
71,284.058,0.77449,1.43504,0.74622,0.89381,0.66456,0.769,0.70205,0.47381,0.65098,0.74879,0.69004,0.40078,0.99424,2.06641,1.10516,0.91519,0.000438703,0.000438703,0.000438703
72,287.5,0.78853,1.43662,0.75493,0.90755,0.64493,0.7607,0.69095,0.46015,0.63987,0.75318,0.6762,0.38586,0.99925,2.06636,1.10823,0.92067,0.000424556,0.000424556,0.000424556
73,291.954,0.73433,1.30737,0.69689,0.90092,0.66674,0.65106,0.65527,0.44749,0.66122,0.65385,0.64587,0.37428,0.99906,2.07647,1.11592,0.92463,0.000410409,0.000410409,0.000410409
74,295.973,0.73497,1.35638,0.70692,0.89538,0.66328,0.6156,0.63658,0.4361,0.65629,0.60851,0.61523,0.36404,1.00604,2.04127,1.15328,0.92287,0.000396262,0.000396262,0.000396262
75,299.504,0.75549,1.33815,0.72055,0.9037,0.66177,0.63564,0.63802,0.43245,0.65191,0.62916,0.62864,0.36887,1.02429,2.03206,1.15575,0.92679,0.000382115,0.000382115,0.000382115
76,303,0.76288,1.34751,0.72222,0.90768,0.63565,0.74327,0.66742,0.45048,0.63565,0.74327,0.65381,0.38816,1.00941,2.01635,1.14527,0.92575,0.000367967,0.000367967,0.000367967
77,308.134,0.69301,1.32487,0.66953,0.89531,0.62947,0.75764,0.66826,0.45872,0.63481,0.74968,0.65856,0.39212,1.01134,2.00502,1.14608,0.9259,0.00035382,0.00035382,0.00035382
78,311.953,0.70804,1.28766,0.69018,0.8753,0.59118,0.80156,0.67189,0.46937,0.57606,0.78028,0.66107,0.40005,1.00719,2.01702,1.14726,0.92187,0.000339673,0.000339673,0.000339673
79,315.451,0.74118,1.34459,0.69366,0.89893,0.74167,0.61486,0.66791,0.46192,0.74298,0.61392,0.66021,0.40274,0.99362,2.01733,1.15832,0.91911,0.000325526,0.000325526,0.000325526
80,319.804,0.75025,1.31527,0.67434,0.88328,0.73772,0.60936,0.66309,0.45241,0.74581,0.60936,0.6523,0.40048,1.00131,2.04553,1.14757,0.9246,0.000311379,0.000311379,0.000311379
81,323.805,0.71819,1.29861,0.67947,0.88735,0.71475,0.60227,0.65595,0.45277,0.71991,0.60227,0.6458,0.38756,1.00326,2.04825,1.14765,0.93042,0.000297232,0.000297232,0.000297232
82,327.128,0.69496,1.27857,0.70467,0.87718,0.72688,0.57184,0.6448,0.43667,0.72688,0.57184,0.63336,0.3762,1.03856,2.03105,1.15298,0.94237,0.000283085,0.000283085,0.000283085
83,330.735,0.72382,1.31,0.73659,0.89037,0.71611,0.58977,0.64107,0.43073,0.73039,0.58057,0.62941,0.37799,1.04597,2.03171,1.15161,0.94413,0.000268938,0.000268938,0.000268938
84,335.569,0.76689,1.38423,0.68671,0.89383,0.56515,0.78738,0.65816,0.43192,0.55348,0.78738,0.65825,0.38816,1.04161,1.98124,1.12387,0.93989,0.000254791,0.000254791,0.000254791
85,339.092,0.69969,1.22628,0.67935,0.89743,0.60349,0.75794,0.64237,0.43849,0.60308,0.7692,0.64318,0.38173,1.03666,1.97428,1.13081,0.93692,0.000240644,0.000240644,0.000240644
86,342.63,0.72362,1.33447,0.6731,0.90622,0.66058,0.65027,0.64565,0.43227,0.64378,0.63783,0.63735,0.36286,1.0276,1.97399,1.15249,0.93492,0.000226497,0.000226497,0.000226497
87,346.117,0.731,1.28707,0.63495,0.87791,0.62782,0.68247,0.63783,0.41705,0.62941,0.67482,0.63307,0.39459,1.02769,1.99206,1.15491,0.93751,0.000212349,0.000212349,0.000212349
88,350.95,0.75777,1.45722,0.6778,0.88256,0.67526,0.71208,0.65853,0.42926,0.66276,0.6979,0.65228,0.36598,1.02247,2.00073,1.15214,0.93829,0.000198202,0.000198202,0.000198202
89,354.343,0.67248,1.24681,0.64549,0.87259,0.62204,0.74802,0.6531,0.43312,0.6162,0.74093,0.64749,0.3538,1.01621,1.99595,1.15958,0.93525,0.000184055,0.000184055,0.000184055
90,357.88,0.74165,1.35747,0.67084,0.87933,0.6232,0.7576,0.64932,0.42911,0.61734,0.75109,0.64414,0.35743,1.01961,1.99939,1.16324,0.93408,0.000169908,0.000169908,0.000169908
91,371.446,0.66073,1.29018,0.79424,0.87455,0.63133,0.75691,0.64039,0.4388,0.62535,0.74982,0.63487,0.35676,1.02291,2.01811,1.15628,0.93686,0.000155761,0.000155761,0.000155761
92,378.225,0.69708,1.29727,0.76358,0.88321,0.64575,0.74471,0.65761,0.44349,0.63947,0.73603,0.64655,0.35166,1.02188,2.02466,1.1502,0.94172,0.000141614,0.000141614,0.000141614
93,381.688,0.6861,1.23728,0.67255,0.8628,0.66861,0.73572,0.66183,0.43334,0.66095,0.72863,0.65281,0.35853,1.01479,2.03779,1.15519,0.93637,0.000127467,0.000127467,0.000127467
94,385.135,0.70372,1.33976,0.72117,0.8815,0.72204,0.59548,0.6536,0.41009,0.5542,0.73149,0.63612,0.36204,1.03422,2.07253,1.17259,0.94363,0.00011332,0.00011332,0.00011332
95,388.923,0.65843,1.25142,0.68118,0.86035,0.53287,0.81641,0.64587,0.41198,0.51877,0.78936,0.62682,0.36126,1.03663,2.07099,1.15889,0.94332,9.91726e-05,9.91726e-05,9.91726e-05
96,392.835,0.75239,1.47057,0.76678,0.87872,0.55146,0.86213,0.61325,0.3877,0.54001,0.84795,0.59453,0.33141,1.03409,2.0688,1.1445,0.94282,8.50255e-05,8.50255e-05,8.50255e-05
97,395.497,0.68242,1.27033,0.68054,0.86774,0.54332,0.7878,0.6348,0.39246,0.53648,0.78074,0.6222,0.33966,1.02913,2.07121,1.14022,0.94005,7.08784e-05,7.08784e-05,7.08784e-05
98,398.278,0.64466,1.22037,0.65773,0.87922,0.61854,0.76015,0.63423,0.40841,0.60559,0.74678,0.61968,0.35824,1.02048,2.0706,1.13953,0.93841,5.67313e-05,5.67313e-05,5.67313e-05
99,400.907,0.68252,1.24605,0.66485,0.87162,0.61264,0.76565,0.62876,0.40526,0.6,0.75234,0.61328,0.37759,1.00973,2.06819,1.14389,0.93393,4.25842e-05,4.25842e-05,4.25842e-05
100,404.786,0.62315,1.14577,0.63086,0.86591,0.60732,0.77266,0.63214,0.4018,0.59575,0.76052,0.61568,0.38013,1.01055,2.06536,1.14443,0.93443,2.84371e-05,2.84371e-05,2.84371e-05
